"RK","PLAYER NAME",TEAM,"POS","OPP","UPSIDE ","BUST ","MATCHUP "
"1","Christian McCaffrey",SF,"RB1","vs. CAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"2","Drake Maye",NE,"QB1","at CIN","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"3","Lamar Jackson",BAL,"QB2","vs. NYJ","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"4","Patrick Mahomes II",KC,"QB3","vs. IND","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"5","Jahmyr Gibbs",DET,"RB2","vs. NYG","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"6","Josh Allen",BUF,"QB4","at HOU","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"7","Jalen Hurts",PHI,"QB5","at DAL","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"8","Jaxon Smith-Njigba",SEA,"WR1","at TEN","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"9","Bijan Robinson",ATL,"RB3","at NO","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"10","Jonathan Taylor",IND,"RB4","at KC","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"11","Puka Nacua",LAR,"WR2","vs. TB","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"12","Matthew Stafford",LAR,"QB6","vs. TB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"13","Amon-Ra St. Brown",DET,"WR3","vs. NYG","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"14","Brock Purdy",SF,"QB7","vs. CAR","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"15","Jared Goff",DET,"QB8","vs. NYG","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"16","Trey McBride",ARI,"TE1","vs. JAC","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"17","Jacoby Brissett",ARI,"QB9","vs. JAC","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"18","Rashee Rice",KC,"WR4","vs. IND","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
