"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Jason Myers",SEA,"at ATL","4 out of 5 stars","A+","8.3"
"2","Brandon Aubrey",DAL,"at DET","3 out of 5 stars","A-","8.2"
"3","Tyler Loop",BAL,"vs. PIT","4 out of 5 stars","B+","8.2"
"4","Jake Bates",DET,"vs. DAL","4 out of 5 stars","B-","8.2"
"5","Chris Boswell",PIT,"at BAL","5 out of 5 stars","C+","8.1"
"6","Wil Lutz",DEN,"at LV","4 out of 5 stars","C+","7.9"
"7","Ka'imi Fairbairn",HOU,"at KC","2 out of 5 stars","C+","7.9"
"8","Harrison Mevis",LAR,"at ARI","5 out of 5 stars","C+","7.7"
"9","Chase McLaughlin",TB,"vs. NO","4 out of 5 stars","C+","7.6"
"10","Cameron Dicker",LAC,"vs. PHI","4 out of 5 stars","C","7.5"
"11","Matt Prater",BUF,"vs. CIN","4 out of 5 stars","C","7.4"
"12","Cam Little",JAC,"vs. IND","2 out of 5 stars","C","7.3"
"13","Evan McPherson",CIN,"at BUF","2 out of 5 stars","C","7.3"
"14","Harrison Butker",KC,"vs. HOU","1 out of 5 stars","C","7.3"
"15","Brandon McManus",GB,"vs. CHI","2 out of 5 stars","C","7.2"
"16","Riley Patterson",MIA,"at NYJ","4 out of 5 stars","C","7.2"
"17","Michael Badgley",IND,"at JAC","1 out of 5 stars","C","7.0"
"18","Cairo Santos",CHI,"at GB","3 out of 5 stars","C-","7.0"
"19","Will Reichard",MIN,"vs. WAS","3 out of 5 stars","C-","6.8"
"20","Nick Folk",NYJ,"vs. MIA","3 out of 5 stars","C-","6.8"
"21","Jake Moody",WAS,"at MIN","5 out of 5 stars","D+","6.6"
"22","Jake Elliott",PHI,"at LAC","3 out of 5 stars","D+","6.5"
"23","Chad Ryland",ARI,"vs. LAR","3 out of 5 stars","D","6.5"
"24","Zane Gonzalez",ATL,"vs. SEA","1 out of 5 stars","D","6.5"
"25","Joey Slye",TEN,"at CLE","3 out of 5 stars","D","6.5"
"26","Daniel Carlson",LV,"vs. DEN","3 out of 5 stars","D","6.1"
""
"27","Charlie Smyth",NO,"at TB","2 out of 5 stars","D-","5.6"
"28","Andre Szmyt",CLE,"vs. TEN","4 out of 5 stars","D-","5.6"
