"RK","PLAYER NAME",TEAM,"POS","OPP","MATCHUP "
"1","Christian McCaffrey",SF,"RB1","vs. TEN","4 out of 5 stars"
"2","Josh Allen",BUF,"QB1","at NE","4 out of 5 stars"
"3","Jaxon Smith-Njigba",SEA,"WR1","vs. IND","3 out of 5 stars"
"4","Matthew Stafford",LAR,"QB2","vs. DET","4 out of 5 stars"
"5","Drake Maye",NE,"QB3","vs. BUF","3 out of 5 stars"
"6","Jalen Hurts",PHI,"QB4","vs. LV","3 out of 5 stars"
"7","Joe Burrow",CIN,"QB5","vs. BAL","3 out of 5 stars"
"8","Lamar Jackson",BAL,"QB6","at CIN","4 out of 5 stars"
"9","Puka Nacua",LAR,"WR2","vs. DET","4 out of 5 stars"
"10","Jahmyr Gibbs",DET,"RB2","at LAR","2 out of 5 stars"
"11","Dak Prescott",DAL,"QB7","vs. MIN","3 out of 5 stars"
"12","Bijan Robinson",ATL,"RB3","at TB","4 out of 5 stars"
"13","Ja'Marr Chase",CIN,"WR3","vs. BAL","4 out of 5 stars"
"14","Jaxson Dart",NYG,"QB8","vs. WAS","5 out of 5 stars"
"15","Patrick Mahomes II",KC,"QB9","vs. LAC","2 out of 5 stars"
"16","Brock Purdy",SF,"QB10","vs. TEN","4 out of 5 stars"
"17","De'Von Achane",MIA,"RB4","at PIT","3 out of 5 stars"
"18","Rashee Rice",KC,"WR4","vs. LAC","2 out of 5 stars"
"19","Jared Goff",DET,"QB11","at LAR","3 out of 5 stars"
"20","Trevor Lawrence",JAC,"QB12","vs. NYJ","4 out of 5 stars"
"21","Marcus Mariota",WAS,"QB13","at NYG","3 out of 5 stars"
"22","Baker Mayfield",TB,"QB14","vs. ATL","4 out of 5 stars"
"23","Sam Darnold",SEA,"QB15","vs. IND","3 out of 5 stars"
"24","Jordan Love",GB,"QB16","at DEN","1 out of 5 stars"
"25","Davante Adams",LAR,"WR5","vs. DET","4 out of 5 stars"
"26","Bo Nix",DEN,"QB17","vs. GB","2 out of 5 stars"
""
"27","Bucky Irving",TB,"RB5","vs. ATL","3 out of 5 stars"
"28","J.J. McCarthy",MIN,"QB18","at DAL","5 out of 5 stars"
"29","Amon-Ra St. Brown",DET,"WR6","at LAR","3 out of 5 stars"
"30","Nico Collins",HOU,"WR7","vs. ARI","3 out of 5 stars"
"31","James Cook III",BUF,"RB6","at NE","2 out of 5 stars"
"32","Derrick Henry",BAL,"RB7","at CIN","4 out of 5 stars"
"33","Caleb Williams",CHI,"QB19","vs. CLE","2 out of 5 stars"
"34","Justin Herbert",LAC,"QB20","at KC","2 out of 5 stars"
"35","George Pickens",DAL,"WR8","vs. MIN","2 out of 5 stars"
"36","C.J. Stroud",HOU,"QB21","vs. ARI","2 out of 5 stars"
"37","Jacoby Brissett",ARI,"QB22","at HOU","1 out of 5 stars"
"38","Travis Etienne Jr.",JAC,"RB8","vs. NYJ","4 out of 5 stars"
"39","A.J. Brown",PHI,"WR9","vs. LV","3 out of 5 stars"
"40","Chase Brown",CIN,"RB9","vs. BAL","4 out of 5 stars"
"41","Bryce Young",CAR,"QB23","at NO","2 out of 5 stars"
"42","Jaylen Waddle",MIA,"WR10","at PIT","2 out of 5 stars"
"43","Jonathan Taylor",IND,"RB10","at SEA","2 out of 5 stars"
"44","Saquon Barkley",PHI,"RB11","vs. LV","2 out of 5 stars"
"45","Tyler Shough",NO,"QB24","vs. CAR","3 out of 5 stars"
"46","Michael Wilson",ARI,"WR11","at HOU","2 out of 5 stars"
"47","Josh Jacobs",GB,"RB12","at DEN","3 out of 5 stars"
"48","Trey McBride",ARI,"TE1","at HOU","2 out of 5 stars"
"49","Shedeur Sanders",CLE,"QB25","at CHI","5 out of 5 stars"
"50","Javonte Williams",DAL,"RB13","vs. MIN","3 out of 5 stars"
"51","Chris Olave",NO,"WR12","vs. CAR","3 out of 5 stars"
"52","Aaron Rodgers",PIT,"QB26","vs. MIA","4 out of 5 stars"
"53","Wan'Dale Robinson",NYG,"WR13","vs. WAS","5 out of 5 stars"
"54","Tetairoa McMillan",CAR,"WR14","at NO","3 out of 5 stars"
"55","Jameson Williams",DET,"WR15","at LAR","3 out of 5 stars"
"56","George Kittle",SF,"TE2","vs. TEN","4 out of 5 stars"
"57","Kirk Cousins",ATL,"QB27","at TB","3 out of 5 stars"
"58","TreVeyon Henderson",NE,"RB14","vs. BUF","4 out of 5 stars"
"59","Quinshon Judkins",CLE,"RB15","at CHI","3 out of 5 stars"
"60","Terry McLaurin",WAS,"WR16","at NYG","3 out of 5 stars"
"61","RJ Harvey",DEN,"RB16","vs. GB","3 out of 5 stars"
"62","Kyren Williams",LAR,"RB17","vs. DET","2 out of 5 stars"
"63","Jaylen Warren",PIT,"RB18","vs. MIA","3 out of 5 stars"
"64","Breece Hall",NYJ,"RB19","at JAC","2 out of 5 stars"
"65","DeVonta Smith",PHI,"WR17","vs. LV","3 out of 5 stars"
"66","Tua Tagovailoa",MIA,"QB28","at PIT","3 out of 5 stars"
"67","Jakobi Meyers",JAC,"WR18","vs. NYJ","4 out of 5 stars"
"68","Woody Marks",HOU,"RB20","vs. ARI","4 out of 5 stars"
"69","Zay Flowers",BAL,"WR19","at CIN","3 out of 5 stars"
"70","Stefon Diggs",NE,"WR20","vs. BUF","4 out of 5 stars"
"71","Justin Jefferson",MIN,"WR21","at DAL","5 out of 5 stars"
"72","Ashton Jeanty",LV,"RB21","at PHI","4 out of 5 stars"
"73","Brock Bowers",LV,"TE3","at PHI","2 out of 5 stars"
"74","Cam Ward",TEN,"QB29","at SF","4 out of 5 stars"
"75","Ladd McConkey",LAC,"WR22","at KC","3 out of 5 stars"
"76","Jauan Jennings",SF,"WR23","vs. TEN","4 out of 5 stars"
"77","Chris Godwin Jr.",TB,"WR24","vs. ATL","4 out of 5 stars"
"78","Rico Dowdle",CAR,"RB22","at NO","4 out of 5 stars"
"79","DK Metcalf",PIT,"WR25","vs. MIA","4 out of 5 stars"
"80","Kenneth Walker III",SEA,"RB23","vs. IND","3 out of 5 stars"
"81","Riley Leonard",IND,"QB30","at SEA","2 out of 5 stars"
"82","Omarion Hampton",LAC,"RB24","at KC","2 out of 5 stars"
"83","Emeka Egbuka",TB,"WR26","vs. ATL","4 out of 5 stars"
"84","Michael Pittman Jr.",IND,"WR27","at SEA","2 out of 5 stars"
"85","Devin Neal",NO,"RB25","vs. CAR","4 out of 5 stars"
"86","D'Andre Swift",CHI,"RB26","vs. CLE","2 out of 5 stars"
"87","Aaron Jones Sr.",MIN,"RB27","at DAL","4 out of 5 stars"
"88","Courtland Sutton",DEN,"WR28","vs. GB","3 out of 5 stars"
"89","Christian Watson",GB,"WR29","at DEN","2 out of 5 stars"
"90","Brian Thomas Jr.",JAC,"WR30","vs. NYJ","4 out of 5 stars"
""
"91","Khalil Shakir",BUF,"WR31","at NE","4 out of 5 stars"
"92","Deebo Samuel Sr.",WAS,"WR32","at NYG","3 out of 5 stars"
"93","Tyler Warren",IND,"TE4","at SEA","4 out of 5 stars"
"94","Luther Burden III",CHI,"WR33","vs. CLE","4 out of 5 stars"
"95","Harold Fannin Jr.",CLE,"TE5","at CHI","3 out of 5 stars"
"96","Brenton Strange",JAC,"TE6","vs. NYJ","4 out of 5 stars"
"97","DJ Moore",CHI,"WR34","vs. CLE","4 out of 5 stars"
"98","Chris Rodriguez Jr.",WAS,"RB28","at NYG","4 out of 5 stars"
"99","Travis Kelce",KC,"TE7","vs. LAC","5 out of 5 stars"
"100","Jerry Jeudy",CLE,"WR35","at CHI","4 out of 5 stars"
"101","Adonai Mitchell",NYJ,"WR36","at JAC","2 out of 5 stars"
"102","Kyle Pitts Sr.",ATL,"TE8","at TB","4 out of 5 stars"
"103","Jake Ferguson",DAL,"TE9","vs. MIN","3 out of 5 stars"
"104","Jordan Addison",MIN,"WR37","at DAL","5 out of 5 stars"
"105","Alec Pierce",IND,"WR38","at SEA","2 out of 5 stars"
"106","Kyle Monangai",CHI,"RB29","vs. CLE","2 out of 5 stars"
"107","Dalton Kincaid",BUF,"TE10","at NE","4 out of 5 stars"
"108","Quentin Johnston",LAC,"WR39","at KC","3 out of 5 stars"
"109","Tony Pollard",TEN,"RB30","at SF","3 out of 5 stars"
"110","Jayden Reed",GB,"WR40","at DEN","2 out of 5 stars"
"111","Mark Andrews",BAL,"TE11","at CIN","5 out of 5 stars"
"112","Colston Loveland",CHI,"TE12","vs. CLE","2 out of 5 stars"
"113","Tyrone Tracy Jr.",NYG,"RB31","vs. WAS","4 out of 5 stars"
"114","Chuba Hubbard",CAR,"RB32","at NO","4 out of 5 stars"
"115","Devin Singletary",NYG,"RB33","vs. WAS","4 out of 5 stars"
"116","Zonovan Knight",ARI,"RB34","at HOU","3 out of 5 stars"
"117","Xavier Worthy",KC,"WR41","vs. LAC","2 out of 5 stars"
"118","Theo Johnson",NYG,"TE13","vs. WAS","4 out of 5 stars"
"119","Jayden Higgins",HOU,"WR42","vs. ARI","3 out of 5 stars"
"120","Kareem Hunt",KC,"RB35","vs. LAC","3 out of 5 stars"
"121","Darnell Mooney",ATL,"WR43","at TB","2 out of 5 stars"
"122","Juwan Johnson",NO,"TE14","vs. CAR","3 out of 5 stars"
"123","Devaughn Vele",NO,"WR44","vs. CAR","3 out of 5 stars"
"124","Troy Franklin",DEN,"WR45","vs. GB","3 out of 5 stars"
"125","Kayshon Boutte",NE,"WR46","vs. BUF","4 out of 5 stars"
"126","Hunter Henry",NE,"TE15","vs. BUF","3 out of 5 stars"
"127","Darius Slayton",NYG,"WR47","vs. WAS","5 out of 5 stars"
"128","Ricky Pearsall",SF,"WR48","vs. TEN","4 out of 5 stars"
"129","Blake Corum",LAR,"RB36","vs. DET","2 out of 5 stars"
"130","Romeo Doubs",GB,"WR49","at DEN","2 out of 5 stars"
"131","Dalton Schultz",HOU,"TE16","vs. ARI","3 out of 5 stars"
"132","Isaiah Likely",BAL,"TE17","at CIN","5 out of 5 stars"
"133","Justin Fields",NYJ,"QB31","at JAC","3 out of 5 stars"
"134","David Montgomery",DET,"RB37","at LAR","2 out of 5 stars"
"135","Keenan Allen",LAC,"WR50","at KC","3 out of 5 stars"
"136","Zach Charbonnet",SEA,"RB38","vs. IND","3 out of 5 stars"
"137","Kenneth Gainwell",PIT,"RB39","vs. MIA","3 out of 5 stars"
"138","Darren Waller",MIA,"TE18","at PIT","3 out of 5 stars"
"139","John Metchie III",NYJ,"WR51","at JAC","2 out of 5 stars"
"140","Pat Bryant",DEN,"WR52","vs. GB","3 out of 5 stars"
"141","Chimere Dike",TEN,"WR53","at SF","3 out of 5 stars"
"142","Rhamondre Stevenson",NE,"RB40","vs. BUF","4 out of 5 stars"
"143","Tre Tucker",LV,"WR54","at PHI","1 out of 5 stars"
"144","Cooper Kupp",SEA,"WR55","vs. IND","3 out of 5 stars"
"145","Rashid Shaheed",SEA,"WR56","vs. IND","3 out of 5 stars"
"146","Dallas Goedert",PHI,"TE19","vs. LV","4 out of 5 stars"
"147","Oronde Gadsden II",LAC,"TE20","at KC","2 out of 5 stars"
"148","Kimani Vidal",LAC,"RB41","at KC","2 out of 5 stars"
"149","AJ Barner",SEA,"TE21","vs. IND","4 out of 5 stars"
"150","Geno Smith",LV,"QB32","at PHI","2 out of 5 stars"
"151","Malik Washington",MIA,"WR57","at PIT","2 out of 5 stars"
"152","Josh Downs",IND,"WR58","at SEA","2 out of 5 stars"
"153","Elic Ayomanor",TEN,"WR59","at SF","3 out of 5 stars"
"154","Colby Parkinson",LAR,"TE22","vs. DET","3 out of 5 stars"
"155","Isaac TeSlaa",DET,"WR60","at LAR","3 out of 5 stars"
"156","Evan Engram",DEN,"TE23","vs. GB","4 out of 5 stars"
"157","Mike Gesicki",CIN,"TE24","vs. BAL","3 out of 5 stars"
"158","Jalen Coker",CAR,"WR61","at NO","3 out of 5 stars"
"159","Andrei Iosivas",CIN,"WR62","vs. BAL","4 out of 5 stars"
"160","Tyjae Spears",TEN,"RB42","at SF","3 out of 5 stars"
"161","Mason Taylor",NYJ,"TE25","at JAC","3 out of 5 stars"
"162","Xavier Legette",CAR,"WR63","at NO","3 out of 5 stars"
"163","Ryan Flournoy",DAL,"WR64","vs. MIN","2 out of 5 stars"
"164","Keon Coleman",BUF,"WR65","at NE","4 out of 5 stars"
"165","Olamide Zaccheaus",CHI,"WR66","vs. CLE","4 out of 5 stars"
"166","Jordan Mason",MIN,"RB43","at DAL","4 out of 5 stars"
"167","Tez Johnson",TB,"WR67","vs. ATL","4 out of 5 stars"
"168","Michael Carter",ARI,"RB44","at HOU","3 out of 5 stars"
"169","Tyler Allgeier",ATL,"RB45","at TB","4 out of 5 stars"
"170","T.J. Hockenson",MIN,"TE26","at DAL","4 out of 5 stars"
"171","Gabe Davis",BUF,"WR68","at NE","4 out of 5 stars"
"172","Gunnar Helm",TEN,"TE27","at SF","3 out of 5 stars"
"173","Samaje Perine",CIN,"RB46","vs. BAL","4 out of 5 stars"
"174","Marquise Brown",KC,"WR69","vs. LAC","2 out of 5 stars"
"175","Kenny Pickett",LV,"QB33","at PHI","2 out of 5 stars"
"176","Bhayshul Tuten",JAC,"RB47","vs. NYJ","4 out of 5 stars"
"177","Rachaad White",TB,"RB48","vs. ATL","3 out of 5 stars"
"178","Isiah Pacheco",KC,"RB49","vs. LAC","3 out of 5 stars"
"179","Cade Otton",TB,"TE28","vs. ATL","2 out of 5 stars"
"180","Christian Kirk",HOU,"WR70","vs. ARI","3 out of 5 stars"
"181","Pat Freiermuth",PIT,"TE29","vs. MIA","3 out of 5 stars"
"182","Rashod Bateman",BAL,"WR71","at CIN","3 out of 5 stars"
"183","Calvin Austin III",PIT,"WR72","vs. MIA","4 out of 5 stars"
"184","Chig Okonkwo",TEN,"TE30","at SF","3 out of 5 stars"
"185","Dontayvion Wicks",GB,"WR73","at DEN","2 out of 5 stars"
"186","Tim Patrick",JAC,"WR74","vs. NYJ","4 out of 5 stars"
"187","David Sills V",ATL,"WR75","at TB","2 out of 5 stars"
"188","Dawson Knox",BUF,"TE31","at NE","4 out of 5 stars"
"189","Jaleel McLaughlin",DEN,"RB50","vs. GB","3 out of 5 stars"
"190","Jack Bech",LV,"WR76","at PHI","1 out of 5 stars"
"191","Sean Tucker",TB,"RB51","vs. ATL","3 out of 5 stars"
"192","Ty Johnson",BUF,"RB52","at NE","2 out of 5 stars"
"193","Jaylen Wright",MIA,"RB53","at PIT","3 out of 5 stars"
"194","Jonnu Smith",PIT,"TE32","vs. MIA","3 out of 5 stars"
"195","Tyler Lockett",LV,"WR77","at PHI","1 out of 5 stars"
"196","Mack Hollins",NE,"WR78","vs. BUF","4 out of 5 stars"
"197","Noah Brown",WAS,"WR79","at NYG","3 out of 5 stars"
"198","Brian Robinson Jr.",SF,"RB54","vs. TEN","4 out of 5 stars"
"199","Jeremy McNichols",WAS,"RB55","at NYG","4 out of 5 stars"
"200","Emanuel Wilson",GB,"RB56","at DEN","3 out of 5 stars"
"201","KaVontae Turpin",DAL,"WR80","vs. MIN","2 out of 5 stars"
"202","Darnell Washington",PIT,"TE33","vs. MIA","3 out of 5 stars"
"203","Marvin Mims Jr.",DEN,"WR81","vs. GB","3 out of 5 stars"
"204","Ja'Tavion Sanders",CAR,"TE34","at NO","3 out of 5 stars"
"205","Brady Cook",NYJ,"QB34","at JAC","3 out of 5 stars"
"206","Jacory Croskey-Merritt",WAS,"RB57","at NYG","4 out of 5 stars"
"207","Cedric Tillman",CLE,"WR82","at CHI","4 out of 5 stars"
"208","Mason Tipton",NO,"WR83","vs. CAR","3 out of 5 stars"
"209","David Njoku",CLE,"TE35","at CHI","3 out of 5 stars"
"210","Parker Washington",JAC,"WR84","vs. NYJ","4 out of 5 stars"
"211","Ollie Gordon II",MIA,"RB58","at PIT","3 out of 5 stars"
"212","CeeDee Lamb",DAL,"WR85","vs. MIN","2 out of 5 stars"
"213","DeAndre Hopkins",BAL,"WR86","at CIN","3 out of 5 stars"
"214","Van Jefferson",TEN,"WR87","at SF","3 out of 5 stars"
"215","Rasheen Ali",BAL,"RB59","at CIN","4 out of 5 stars"
"216","Dylan Sampson",CLE,"RB60","at CHI","3 out of 5 stars"
"217","Kyle Williams",NE,"WR88","vs. BUF","4 out of 5 stars"
"218","Matthew Golden",GB,"WR89","at DEN","2 out of 5 stars"
"219","Sterling Shepard",TB,"WR90","vs. ATL","4 out of 5 stars"
"220","Xavier Hutchinson",HOU,"WR91","vs. ARI","3 out of 5 stars"
"221","Malik Davis",DAL,"RB61","vs. MIN","3 out of 5 stars"
"222","Treylon Burks",WAS,"WR92","at NYG","3 out of 5 stars"
"223","DeMario Douglas",NE,"WR93","vs. BUF","4 out of 5 stars"
"224","Tyquan Thornton",KC,"WR94","vs. LAC","2 out of 5 stars"
"225","Adam Thielen",PIT,"WR95","vs. MIA","4 out of 5 stars"
"226","Isaiah Williams",NYJ,"WR96","at JAC","2 out of 5 stars"
"227","Ray Davis",BUF,"RB62","at NE","2 out of 5 stars"
"228","Dare Ogunbowale",HOU,"RB63","vs. ARI","4 out of 5 stars"
"229","Jaylin Noel",HOU,"WR97","vs. ARI","3 out of 5 stars"
"230","Marvin Harrison Jr.",ARI,"WR98","at HOU","2 out of 5 stars"
"231","Isaiah Bond",CLE,"WR99","at CHI","4 out of 5 stars"
"232","Isaiah Davis",NYJ,"RB64","at JAC","2 out of 5 stars"
"233","Tee Higgins",CIN,"WR100","vs. BAL","4 out of 5 stars"
"234","Jalen Nailor",MIN,"WR101","at DAL","5 out of 5 stars"
"235","Cole Kmet",CHI,"TE36","vs. CLE","2 out of 5 stars"
"236","Brashard Smith",KC,"RB65","vs. LAC","3 out of 5 stars"
"237","Ben Sinnott",WAS,"TE37","at NYG","2 out of 5 stars"
"238","Jerome Ford",CLE,"RB66","at CHI","3 out of 5 stars"
"239","Rome Odunze",CHI,"WR102","vs. CLE","4 out of 5 stars"
"240","John Bates",WAS,"TE38","at NYG","2 out of 5 stars"
"241","Xavier Weaver",ARI,"WR103","at HOU","2 out of 5 stars"
"242","Keaton Mitchell",BAL,"RB67","at CIN","4 out of 5 stars"
"243","Brandin Cooks",BUF,"WR104","at NE","4 out of 5 stars"
"244","Mike Evans",TB,"WR105","vs. ATL","4 out of 5 stars"
"245","Tyler Badie",DEN,"RB68","vs. GB","3 out of 5 stars"
"246","Tank Bigsby",PHI,"RB69","vs. LV","2 out of 5 stars"
"247","JuJu Smith-Schuster",KC,"WR106","vs. LAC","2 out of 5 stars"
"248","Mitch Tinsley",CIN,"WR107","vs. BAL","4 out of 5 stars"
"249","Taysom Hill",NO,"TE39","vs. CAR","3 out of 5 stars"
"250","Kendrick Bourne",SF,"WR108","vs. TEN","4 out of 5 stars"
"251","Chris Brooks",GB,"RB70","at DEN","3 out of 5 stars"
"252","Luke Musgrave",GB,"TE40","at DEN","3 out of 5 stars"
"253","Jahan Dotson",PHI,"WR109","vs. LV","3 out of 5 stars"
"254","Nick Chubb",HOU,"RB71","vs. ARI","4 out of 5 stars"
"255","Shedrick Jackson",LV,"WR110","at PHI","1 out of 5 stars"
"256","Will Shipley",PHI,"RB72","vs. LV","2 out of 5 stars"
"257","Noah Fant",CIN,"TE41","vs. BAL","3 out of 5 stars"
"258","LeQuint Allen Jr.",JAC,"RB73","vs. NYJ","4 out of 5 stars"
"259","Raheem Mostert",LV,"RB74","at PHI","4 out of 5 stars"
"260","Tre Harris",LAC,"WR111","at KC","3 out of 5 stars"
"261","Josh Oliver",MIN,"TE42","at DAL","4 out of 5 stars"
"262","Philip Rivers",IND,"QB35","at SEA","2 out of 5 stars"
"263","Elijah Higgins",ARI,"TE43","at HOU","2 out of 5 stars"
"264","Isaiah Hodgins",NYG,"WR112","vs. WAS","5 out of 5 stars"
"265","Greg Dulcich",MIA,"TE44","at PIT","3 out of 5 stars"
"266","Tyrell Shavers",BUF,"WR113","at NE","4 out of 5 stars"
"267","Terrance Ferguson",LAR,"TE45","vs. DET","3 out of 5 stars"
"268","Dylan Drummond",ATL,"WR114","at TB","2 out of 5 stars"
"269","Davis Allen",LAR,"TE46","vs. DET","3 out of 5 stars"
"270","Tommy Tremble",CAR,"TE47","at NO","3 out of 5 stars"
"271","Xavier Smith",LAR,"WR115","vs. DET","4 out of 5 stars"
"272","Drake London",ATL,"WR116","at TB","2 out of 5 stars"
"273","Andre Baccellia",ARI,"WR117","at HOU","2 out of 5 stars"
"274","Emari Demercado",ARI,"RB75","at HOU","3 out of 5 stars"
"275","Casey Washington",ATL,"WR118","at TB","2 out of 5 stars"
"276","Noah Gray",KC,"TE48","vs. LAC","5 out of 5 stars"
"277","Ross Dwelley",FA,"TE49","-","-"
"278","Demarcus Robinson",SF,"WR119","vs. TEN","4 out of 5 stars"
"279","Lil'Jordan Humphrey",DEN,"WR120","vs. GB","3 out of 5 stars"
"280","Konata Mumpfield",LAR,"WR121","vs. DET","4 out of 5 stars"
"281","Tyrod Taylor",NYJ,"QB36","at JAC","3 out of 5 stars"
"282","Adam Trautman",DEN,"TE50","vs. GB","4 out of 5 stars"
"283","Elijah Arroyo",SEA,"TE51","vs. IND","4 out of 5 stars"
"284","Kyle Juszczyk",SF,"RB76","vs. TEN","4 out of 5 stars"
"285","Gage Larvadain",CLE,"WR122","at CHI","4 out of 5 stars"
"286","Audric Estime",NO,"RB77","vs. CAR","4 out of 5 stars"
"287","Mitchell Evans",CAR,"TE52","at NO","3 out of 5 stars"
"288","Evan Hull",NO,"RB78","vs. CAR","4 out of 5 stars"
"289","Jayden Daniels",WAS,"QB37","at NYG","3 out of 5 stars"
"290","Jordan Whittington",LAR,"WR123","vs. DET","4 out of 5 stars"
"291","Austin Hooper",NE,"TE53","vs. BUF","3 out of 5 stars"
"292","Ameer Abdullah",IND,"RB79","at SEA","2 out of 5 stars"
"293","Charlie Kolar",BAL,"TE54","at CIN","5 out of 5 stars"
"294","Jaylin Lane",WAS,"WR124","at NYG","3 out of 5 stars"
"295","Kaleb Johnson",PIT,"RB80","vs. MIA","3 out of 5 stars"
"296","Tanner Hudson",CIN,"TE55","vs. BAL","3 out of 5 stars"
"297","Devin Duvernay",CHI,"WR125","vs. CLE","4 out of 5 stars"
"298","Alec Ingold",MIA,"RB81","at PIT","3 out of 5 stars"
"299","Alvin Kamara",NO,"RB82","vs. CAR","4 out of 5 stars"
"300","Anthony Firkser",DET,"TE56","at LAR","2 out of 5 stars"
"301","Marquez Valdes-Scantling",PIT,"WR126","vs. MIA","4 out of 5 stars"
"302","Malachi Corley",CLE,"WR127","at CHI","4 out of 5 stars"
"303","Zavier Scott",MIN,"RB83","at DAL","4 out of 5 stars"
"304","Dylan Laube",LV,"RB84","at PHI","4 out of 5 stars"
"305","DJ Giddens",IND,"RB85","at SEA","2 out of 5 stars"
"306","Patrick Ricard",BAL,"RB86","at CIN","4 out of 5 stars"
"307","Cedrick Wilson Jr.",MIA,"WR128","at PIT","2 out of 5 stars"
"308","Nick Westbrook-Ikhine",MIA,"WR129","at PIT","2 out of 5 stars"
"309","John FitzPatrick",GB,"TE57","at DEN","3 out of 5 stars"
"310","Trevor Etienne",CAR,"RB87","at NO","4 out of 5 stars"
"311","Josh Whyle",GB,"TE58","at DEN","3 out of 5 stars"
"312","Jimmy Horn Jr.",CAR,"WR130","at NO","3 out of 5 stars"
"313","Grant Calcaterra",PHI,"TE59","vs. LV","4 out of 5 stars"
"314","James Proche II",TEN,"WR131","at SF","3 out of 5 stars"
"315","Trey Lance",LAC,"QB38","at KC","2 out of 5 stars"
"316","British Brooks",HOU,"RB88","vs. ARI","4 out of 5 stars"
"317","Tyler Goodson",IND,"RB89","at SEA","2 out of 5 stars"
"318","Bo Melton",GB,"WR132","at DEN","2 out of 5 stars"
"319","Jalen Brooks",ARI,"WR133","at HOU","2 out of 5 stars"
"320","Foster Moreau",NO,"TE60","vs. CAR","3 out of 5 stars"
"321","Cade Stover",HOU,"TE61","vs. ARI","3 out of 5 stars"
"322","Jeremy Ruckert",NYJ,"TE62","at JAC","3 out of 5 stars"
"323","Arian Smith",NYJ,"WR134","at JAC","2 out of 5 stars"
"324","Dyami Brown",JAC,"WR135","vs. NYJ","4 out of 5 stars"
"325","Kalif Raymond",DET,"WR136","at LAR","3 out of 5 stars"
"326","Dont'e Thornton Jr.",LV,"WR137","at PHI","1 out of 5 stars"
"327","Jackson Hawes",BUF,"TE63","at NE","4 out of 5 stars"
"328","Terrell Jennings",NE,"RB90","vs. BUF","4 out of 5 stars"
"329","Julius Chestnut",TEN,"RB91","at SF","3 out of 5 stars"
"330","Justice Hill",BAL,"RB92","at CIN","4 out of 5 stars"
