"RK","PLAYER NAME",TEAM,"POS","OPP","UPSIDE ","BUST ","MATCHUP "
"1","Bijan Robinson",ATL,"RB1","at ARI","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"2","Jahmyr Gibbs",DET,"RB2","vs. PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"3","Christian McCaffrey",SF,"RB3","at IND","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"4","De'Von Achane",MIA,"RB4","vs. CIN","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"5","Josh Allen",BUF,"QB1","at CLE","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"6","Jalen Hurts",PHI,"QB2","at WAS","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"7","Amon-Ra St. Brown",DET,"WR1","vs. PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"8","Puka Nacua",LAR,"WR2","at SEA","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"9","Ja'Marr Chase",CIN,"WR3","at MIA","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"10","Jaxon Smith-Njigba",SEA,"WR4","vs. LAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"11","Drake Maye",NE,"QB3","at BAL","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"12","Lamar Jackson",BAL,"QB4","vs. NE","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"13","Brock Purdy",SF,"QB5","at IND","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"14","Joe Burrow",CIN,"QB6","at MIA","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"15","Jared Goff",DET,"QB7","vs. PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"16","Dak Prescott",DAL,"QB8","vs. LAC","Coach Upside rating","Coach Bust rating","1 out of 5 stars"
"17","Bo Nix",DEN,"QB9","vs. JAC","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"18","Jacoby Brissett",ARI,"QB10","vs. ATL","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"19","James Cook III",BUF,"RB5","at CLE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"20","Justin Herbert",LAC,"QB11","at DAL","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"21","C.J. Stroud",HOU,"QB12","vs. LV","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"22","Jonathan Taylor",IND,"RB6","vs. SF","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"23","Trey McBride",ARI,"TE1","vs. ATL","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"24","Baker Mayfield",TB,"QB13","at CAR","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"25","CeeDee Lamb",DAL,"WR5","vs. LAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"26","Jaxson Dart",NYG,"QB14","vs. MIN","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
""
"27","Travis Etienne Jr.",JAC,"RB7","at DEN","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"28","Jordan Love",GB,"QB15","at CHI","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"29","Trevor Lawrence",JAC,"QB16","at DEN","Coach Upside rating","Coach Bust rating","1 out of 5 stars"
"30","Tyler Shough",NO,"QB17","vs. NYJ","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"31","Javonte Williams",DAL,"RB8","vs. LAC","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"32","Matthew Stafford",LAR,"QB18","at SEA","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"33","Nico Collins",HOU,"WR6","vs. LV","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"34","Caleb Williams",CHI,"QB19","vs. GB","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"35","J.J. McCarthy",MIN,"QB20","at NYG","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"36","Saquon Barkley",PHI,"RB9","at WAS","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"37","Chris Olave",NO,"WR7","vs. NYJ","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"38","A.J. Brown",PHI,"WR8","at WAS","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"39","Aaron Rodgers",PIT,"QB21","at DET","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"40","Bryce Young",CAR,"QB22","vs. TB","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"41","Jameson Williams",DET,"WR9","vs. PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"42","Kirk Cousins",ATL,"QB23","at ARI","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"43","George Pickens",DAL,"WR10","vs. LAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"44","Marcus Mariota",WAS,"QB24","vs. PHI","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"45","Bucky Irving",TB,"RB10","at CAR","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"46","Sam Darnold",SEA,"QB25","vs. LAR","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"47","Mike Evans",TB,"WR11","at CAR","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"48","George Kittle",SF,"TE2","at IND","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"49","DK Metcalf",PIT,"WR12","at DET","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"50","Gardner Minshew II",KC,"QB26","at TEN","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"51","Chase Brown",CIN,"RB11","at MIA","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"52","Josh Jacobs",GB,"RB12","at CHI","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"53","Derrick Henry",BAL,"RB13","vs. NE","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"54","Courtland Sutton",DEN,"WR13","vs. JAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"55","Jauan Jennings",SF,"WR14","at IND","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"56","Drake London",ATL,"WR15","at ARI","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"57","RJ Harvey",DEN,"RB14","vs. JAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"58","TreVeyon Henderson",NE,"RB15","at BAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"59","Zay Flowers",BAL,"WR16","vs. NE","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"60","Tetairoa McMillan",CAR,"WR17","vs. TB","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"61","Michael Wilson",ARI,"WR18","vs. ATL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"62","Quinshon Judkins",CLE,"RB16","vs. BUF","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"63","Wan'Dale Robinson",NYG,"WR19","vs. MIN","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"64","Kyren Williams",LAR,"RB17","at SEA","Coach Upside rating","Coach Bust rating","1 out of 5 stars"
"65","Breece Hall",NYJ,"RB18","at NO","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"66","Quinn Ewers",MIA,"QB27","vs. CIN","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"67","Aaron Jones Sr.",MIN,"RB19","at NYG","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"68","DeVonta Smith",PHI,"WR20","at WAS","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"69","Justin Jefferson",MIN,"WR21","at NYG","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"70","Jakobi Meyers",JAC,"WR22","at DEN","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"71","D'Andre Swift",CHI,"RB20","vs. GB","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"72","Rico Dowdle",CAR,"RB21","vs. TB","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"73","Brock Bowers",LV,"TE3","at HOU","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"74","Kyle Pitts Sr.",ATL,"TE4","at ARI","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"75","Tyrone Tracy Jr.",NYG,"RB22","vs. MIN","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"76","Harold Fannin Jr.",CLE,"TE5","vs. BUF","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"77","Jaylen Waddle",MIA,"WR23","vs. CIN","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"78","Terry McLaurin",WAS,"WR24","vs. PHI","Coach Upside rating","Coach Bust rating","1 out of 5 stars"
"79","Woody Marks",HOU,"RB23","vs. LV","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"80","Shedeur Sanders",CLE,"QB28","vs. BUF","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"81","Cam Ward",TEN,"QB29","vs. KC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"82","Ladd McConkey",LAC,"WR25","at DAL","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"83","Omarion Hampton",LAC,"RB24","at DAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"84","DJ Moore",CHI,"WR26","vs. GB","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"85","Michael Carter",ARI,"RB25","vs. ATL","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"86","Ashton Jeanty",LV,"RB26","at HOU","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"87","Travis Kelce",KC,"TE6","at TEN","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"88","Tee Higgins",CIN,"WR27","at MIA","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"89","Brady Cook",NYJ,"QB30","at NO","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"90","Philip Rivers",IND,"QB31","vs. SF","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
""
"91","Brian Thomas Jr.",JAC,"WR28","at DEN","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"92","Kenneth Gainwell",PIT,"RB27","at DET","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"93","Dallas Goedert",PHI,"TE7","at WAS","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"94","Jayden Reed",GB,"WR29","at CHI","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"95","Jaylen Warren",PIT,"RB28","at DET","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"96","Tony Pollard",TEN,"RB29","vs. KC","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"97","Christian Watson",GB,"WR30","at CHI","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"98","Chris Godwin Jr.",TB,"WR31","at CAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"99","Stefon Diggs",NE,"WR32","at BAL","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"100","Xavier Worthy",KC,"WR33","at TEN","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"101","Deebo Samuel Sr.",WAS,"WR34","vs. PHI","Coach Upside rating","Coach Bust rating","1 out of 5 stars"
"102","Emeka Egbuka",TB,"WR35","at CAR","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"103","Colby Parkinson",LAR,"TE8","at SEA","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"104","Colston Loveland",CHI,"TE9","vs. GB","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"105","Adonai Mitchell",NYJ,"WR36","at NO","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"106","Dalton Schultz",HOU,"TE10","vs. LV","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"107","Keenan Allen",LAC,"WR37","at DAL","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"108","Geno Smith",LV,"QB32","at HOU","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars"
"109","Khalil Shakir",BUF,"WR38","at CLE","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"110","Kenneth Walker III",SEA,"RB30","vs. LAR","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"111","Michael Pittman Jr.",IND,"WR39","vs. SF","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"112","Jordan Addison",MIN,"WR40","at NYG","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"113","Marvin Harrison Jr.",ARI,"WR41","vs. ATL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"114","Juwan Johnson",NO,"TE11","vs. NYJ","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"115","Tyler Warren",IND,"TE12","vs. SF","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"116","Darren Waller",MIA,"TE13","vs. CIN","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"117","Hunter Henry",NE,"TE14","at BAL","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"118","Oronde Gadsden II",LAC,"TE15","at DAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"119","Jake Ferguson",DAL,"TE16","vs. LAC","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"120","Kyle Monangai",CHI,"RB31","vs. GB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"121","Rashid Shaheed",SEA,"WR42","vs. LAR","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"122","David Montgomery",DET,"RB32","vs. PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"123","Jalen Coker",CAR,"WR43","vs. TB","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"124","Brenton Strange",JAC,"TE17","at DEN","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"125","Dalton Kincaid",BUF,"TE18","at CLE","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"126","Jayden Higgins",HOU,"WR44","vs. LV","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"127","Theo Johnson",NYG,"TE19","vs. MIN","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"128","Audric Estime",NO,"RB33","vs. NYJ","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"129","Chuba Hubbard",CAR,"RB34","vs. TB","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"130","Romeo Doubs",GB,"WR45","at CHI","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"131","Troy Franklin",DEN,"WR46","vs. JAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"132","Blake Corum",LAR,"RB35","at SEA","Coach Upside rating","Coach Bust rating","1 out of 5 stars"
"133","AJ Barner",SEA,"TE20","vs. LAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"134","Rhamondre Stevenson",NE,"RB36","at BAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"135","Darius Slayton",NYG,"WR47","vs. MIN","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"136","Mack Hollins",NE,"WR48","at BAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"137","Mark Andrews",BAL,"TE21","vs. NE","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"138","John Metchie III",NYJ,"WR49","at NO","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"139","Kareem Hunt",KC,"RB37","at TEN","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"140","Kayshon Boutte",NE,"WR50","at BAL","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"141","Jerry Jeudy",CLE,"WR51","vs. BUF","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"142","Kimani Vidal",LAC,"RB38","at DAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"143","Mike Gesicki",CIN,"TE22","at MIA","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"144","Chimere Dike",TEN,"WR52","vs. KC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
